Country,Cost of Living
Afghanistan,$441
Albania,$792
Algeria,$439
Andorra,"$1,336"
Angola,$872
Antigua and Barbuda,"$1,573"
Argentina,$603
Armenia,"$1,145"
Australia,"$2,212"
Austria,"$1,668"
Azerbaijan,$641
Bahrain,"$1,077"
Bangladesh,$455
Barbados,"$1,343"
Belarus,$614
Belgium,"$1,520"
Belize,$869
Benin,$728
Bhutan,$409
Bolivia,$697
Bosnia and Herzegovina,$655
Botswana,$592
Brazil,$736
Brunei,"$1,096"
Bulgaria,$786
Burkina Faso,$770
Burundi,$428
Cambodia,$764
Cameroon,$825
Canada,"$1,901"
Cape Verde,$760
Cayman Islands,"$3,255"
Central African Republic,$514
Chad,$521
Chile,"$1,040"
Colombia,$646
Comoros,$548
Costa Rica,"$1,073"
Croatia,"$1,074"
Cuba,"$1,234"
Cyprus,"$1,530"
Czech Republic,"$1,284"
Denmark,"$1,922"
Djibouti,$550
Dominica,$876
Dominican Republic,$828
East Timor,$523
Ecuador,$779
Egypt,$350
El Salvador,$931
Equatorial Guinea,"$1,183"
Eritrea,$518
Estonia,"$1,224"
Eswatini,$547
Ethiopia,$759
Fiji,$770
Finland,"$1,580"
France,"$1,554"
Gabon,$648
Georgia,"$1,093"
Germany,"$1,533"
Ghana,$540
Greece,"$1,087"
Grenada,"$1,074"
Guatemala,$852
Guinea,$944
Guinea-Bissau,$778
Guyana,$854
Haiti,$527
Honduras,$810
Hungary,$969
Iceland,"$2,457"
India,$440
Indonesia,$573
Iran,$704
Iraq,$732
Ireland,"$2,343"
Israel,"$1,707"
Italy,"$1,405"
Ivory Coast,$958
Jamaica,"$1,008"
Japan,"$1,155"
Jordan,$830
Kazakhstan,$702
Kenya,$595
Kiribati,$507
Kuwait,"$1,379"
Kyrgyzstan,$556
Laos,$865
Latvia,"$1,002"
Lebanon,"$1,243"
Lesotho,$586
Liberia,$524
Libya,$429
Liechtenstein,"$2,326"
Lithuania,"$1,107"
Luxembourg,"$2,271"
Madagascar,$537
Malawi,$578
Malaysia,$598
Maldives,"$1,215"
Mali,$532
Malta,"$1,471"
Marshall Islands,"$1,557"
Mauritania,$717
Mauritius,$709
Mexico,$911
Moldova,$640
Monaco,"$3,955"
Mongolia,$703
Montenegro,$861
Morocco,$625
Mozambique,"$1,035"
Myanmar,$834
Namibia,$720
Nauru,$709
Nepal,$374
Netherlands,"$1,862"
New Zealand,"$1,876"
Nicaragua,$642
Niger,"$1,016"
Nigeria,$609
North Korea,"$1,595"
Norway,"$1,964"
Oman,"$1,115"
Pakistan,$332
Palau,"$1,161"
Palestine,$877
Panama,"$1,229"
Papua New Guinea,$538
Paraguay,$566
People's Republic of China,$692
Peru,$789
Philippines,$623
Poland,"$1,089"
Portugal,"$1,180"
Qatar,"$1,939"
Republic of Macedonia,$629
Republic of the Congo,$560
Romania,$784
Russia,$615
Rwanda,$698
Saint Kitts and Nevis,"$1,196"
Saint Lucia,"$1,101"
Samoa,$971
San Marino,"$1,268"
Saudi Arabia,"$1,136"
Senegal,"$1,154"
Serbia,$923
Seychelles,"$1,585"
Sierra Leone,$719
Singapore,"$3,408"
Slovakia,"$1,091"
Slovenia,"$1,230"
Solomon Islands,"$1,483"
Somalia,$701
South Africa,$843
South Korea,"$1,138"
South Sudan,$512
Spain,"$1,318"
Sri Lanka,$443
Sudan,$783
Suriname,$920
Sweden,"$1,479"
Switzerland,"$2,850"
Syria,$506
São Tomé and Príncipe,$878
Taiwan,$969
Tajikistan,$591
Tanzania,$700
Thailand,$835
The Gambia,$610
Togo,$729
Tonga,$900
Trinidad and Tobago,"$1,103"
Tunisia,$431
Turkey,$515
Turkmenistan,"$1,234"
Tuvalu,$564
Uganda,$635
Ukraine,$548
United Arab Emirates,"$1,680"
United Kingdom,"$2,017"
United States of America,"$2,317"
Uruguay,"$1,196"
Uzbekistan,$599
Vanuatu,"$2,010"
Venezuela,$784
Vietnam,$628
Yemen,$529
Zambia,$965
Zimbabwe,$873
